symbol,name,is_mag7,sources,best_source_rank,source_weight_pct
PLD,PLD,no,fallback_large_cap_seed,92,
CRWD,CRWD,no,fallback_large_cap_seed,93,
SBUX,SBUX,no,fallback_large_cap_seed,94,
SO,SO,no,fallback_large_cap_seed,95,
MO,MO,no,fallback_large_cap_seed,96,
ICE,ICE,no,fallback_large_cap_seed,97,
HCA,HCA,no,fallback_large_cap_seed,98,
DUK,DUK,no,fallback_large_cap_seed,99,
BMY,BMY,no,fallback_large_cap_seed,100,
MCK,MCK,no,fallback_large_cap_seed,101,
CEG,CEG,no,fallback_large_cap_seed,102,
ELV,ELV,no,fallback_large_cap_seed,103,
SHW,SHW,no,fallback_large_cap_seed,104,
WM,WM,no,fallback_large_cap_seed,105,
APH,APH,no,fallback_large_cap_seed,106,
MCO,MCO,no,fallback_large_cap_seed,107,
UPS,UPS,no,fallback_large_cap_seed,108,
FI,FI,no,fallback_large_cap_seed,110,
CME,CME,no,fallback_large_cap_seed,111,
CDNS,CDNS,no,fallback_large_cap_seed,112,
SNPS,SNPS,no,fallback_large_cap_seed,113,
WELL,WELL,no,fallback_large_cap_seed,114,
AON,AON,no,fallback_large_cap_seed,115,
EQIX,EQIX,no,fallback_large_cap_seed,116,
PH,PH,no,fallback_large_cap_seed,117,
MMM,MMM,no,fallback_large_cap_seed,118,
ZTS,ZTS,no,fallback_large_cap_seed,119,
ORLY,ORLY,no,fallback_large_cap_seed,120,
CL,CL,no,fallback_large_cap_seed,121,
USB,USB,no,fallback_large_cap_seed,123,
PYPL,PYPL,no,fallback_large_cap_seed,124,
REGN,REGN,no,fallback_large_cap_seed,125,
EOG,EOG,no,fallback_large_cap_seed,126,
PNC,PNC,no,fallback_large_cap_seed,127,
ITW,ITW,no,fallback_large_cap_seed,128,
APO,APO,no,fallback_large_cap_seed,129,
MAR,MAR,no,fallback_large_cap_seed,130,
